Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:00:41.446000,PIA,81,0 days 00:01:38.344000,1.0,1.0,,,,0 days 00:00:28.932000,0 days 00:00:41.859000,,0 days 00:59:59.730000,0 days 01:00:41.583000,277.0,272.0,256.0,308.0,False,MEDIUM,1.0,True,McLaren,0 days 00:59:02.863000,2025-03-23 07:03:38.698,12,1.0,False,,False,False
0 days 01:02:18.997000,PIA,81,0 days 00:01:37.551000,2.0,1.0,,,0 days 00:00:26.193000,0 days 00:00:29.261000,0 days 00:00:42.097000,0 days 01:01:07.760000,0 days 01:01:37.021000,0 days 01:02:19.118000,278.0,271.0,255.0,311.0,True,MEDIUM,2.0,True,McLaren,0 days 01:00:41.446000,2025-03-23 07:05:17.281,1,1.0,False,,False,True
0 days 01:03:56.686000,PIA,81,0 days 00:01:37.689000,3.0,1.0,,,0 days 00:00:26.011000,0 days 00:00:29.486000,0 days 00:00:42.192000,0 days 01:02:45.129000,0 days 01:03:14.615000,0 days 01:03:56.807000,275.0,272.0,256.0,310.0,False,MEDIUM,3.0,True,McLaren,0 days 01:02:18.997000,2025-03-23 07:06:54.832,12,1.0,False,,False,True
0 days 01:05:34.490000,PIA,81,0 days 00:01:37.804000,4.0,1.0,,,0 days 00:00:26.345000,0 days 00:00:29.430000,0 days 00:00:42.029000,0 days 01:04:23.152000,0 days 01:04:52.582000,0 days 01:05:34.611000,271.0,269.0,256.0,313.0,False,MEDIUM,4.0,True,McLaren,0 days 01:03:56.686000,2025-03-23 07:08:32.521,1,1.0,False,,False,True
0 days 01:07:12.572000,PIA,81,0 days 00:01:38.082000,5.0,1.0,,,0 days 00:00:26.312000,0 days 00:00:29.729000,0 days 00:00:42.041000,0 days 01:06:00.923000,0 days 01:06:30.652000,0 days 01:07:12.693000,273.0,270.0,256.0,313.0,False,MEDIUM,5.0,True,McLaren,0 days 01:05:34.490000,2025-03-23 07:10:10.325,1,1.0,False,,False,True
0 days 01:08:50.111000,PIA,81,0 days 00:01:37.539000,6.0,1.0,,,0 days 00:00:26.187000,0 days 00:00:29.451000,0 days 00:00:41.901000,0 days 01:07:38.880000,0 days 01:08:08.331000,0 days 01:08:50.232000,272.0,271.0,257.0,312.0,True,MEDIUM,6.0,True,McLaren,0 days 01:07:12.572000,2025-03-23 07:11:48.407,12,1.0,False,,False,True
0 days 01:10:28.009000,PIA,81,0 days 00:01:37.898000,7.0,1.0,,,0 days 00:00:26.337000,0 days 00:00:29.711000,0 days 00:00:41.850000,0 days 01:09:16.569000,0 days 01:09:46.280000,0 days 01:10:28.130000,,269.0,257.0,314.0,False,MEDIUM,7.0,True,McLaren,0 days 01:08:50.111000,2025-03-23 07:13:25.946,1,1.0,False,,False,True
0 days 01:12:06.202000,PIA,81,0 days 00:01:38.193000,8.0,1.0,,,0 days 00:00:26.341000,0 days 00:00:29.696000,0 days 00:00:42.156000,0 days 01:10:54.471000,0 days 01:11:24.167000,0 days 01:12:06.323000,271.0,269.0,256.0,315.0,False,MEDIUM,8.0,True,McLaren,0 days 01:10:28.009000,2025-03-23 07:15:03.844,1,1.0,False,,False,True
0 days 01:13:44.401000,PIA,81,0 days 00:01:38.199000,9.0,1.0,,,0 days 00:00:26.468000,0 days 00:00:29.696000,0 days 00:00:42.035000,0 days 01:12:32.791000,0 days 01:13:02.487000,0 days 01:13:44.522000,,267.0,257.0,314.0,False,MEDIUM,9.0,True,McLaren,0 days 01:12:06.202000,2025-03-23 07:16:42.037,1,1.0,False,,False,True
0 days 01:15:22.395000,PIA,81,0 days 00:01:37.994000,10.0,1.0,,,0 days 00:00:26.314000,0 days 00:00:29.785000,0 days 00:00:41.895000,0 days 01:14:10.836000,0 days 01:14:40.621000,0 days 01:15:22.516000,272.0,270.0,256.0,316.0,False,MEDIUM,10.0,True,McLaren,0 days 01:13:44.401000,2025-03-23 07:18:20.236,1,1.0,False,,False,True
0 days 01:17:00.519000,PIA,81,0 days 00:01:38.124000,11.0,1.0,,,0 days 00:00:26.314000,0 days 00:00:29.718000,0 days 00:00:42.092000,,0 days 01:16:18.548000,0 days 01:17:00.640000,273.0,270.0,257.0,315.0,False,MEDIUM,11.0,True,McLaren,0 days 01:15:22.395000,2025-03-23 07:19:58.230,1,1.0,False,,False,True
0 days 01:18:38.632000,PIA,81,0 days 00:01:38.113000,12.0,1.0,,,0 days 00:00:26.340000,0 days 00:00:29.782000,0 days 00:00:41.991000,0 days 01:17:26.980000,0 days 01:17:56.762000,0 days 01:18:38.753000,272.0,271.0,258.0,314.0,False,MEDIUM,12.0,True,McLaren,0 days 01:17:00.519000,2025-03-23 07:21:36.354,1,1.0,False,,False,True
0 days 01:20:16.587000,PIA,81,0 days 00:01:37.955000,13.0,1.0,,,0 days 00:00:26.160000,0 days 00:00:29.706000,0 days 00:00:42.089000,0 days 01:19:04.913000,0 days 01:19:34.619000,0 days 01:20:16.708000,273.0,270.0,258.0,314.0,False,MEDIUM,13.0,True,McLaren,0 days 01:18:38.632000,2025-03-23 07:23:14.467,1,1.0,False,,False,True
0 days 01:21:59.213000,PIA,81,0 days 00:01:42.626000,14.0,1.0,,0 days 01:21:57.540000,0 days 00:00:26.250000,0 days 00:00:29.472000,0 days 00:00:46.904000,0 days 01:20:42.958000,0 days 01:21:12.430000,0 days 01:21:59.334000,,271.0,,313.0,False,MEDIUM,14.0,True,McLaren,0 days 01:20:16.587000,2025-03-23 07:24:52.422,1,2.0,False,,False,False
0 days 01:23:56.743000,PIA,81,0 days 00:01:57.530000,15.0,2.0,0 days 01:22:21.395000,,0 days 00:00:45.661000,0 days 00:00:29.730000,0 days 00:00:42.139000,0 days 01:22:44.995000,0 days 01:23:14.725000,0 days 01:23:56.864000,278.0,269.0,258.0,312.0,False,HARD,1.0,True,McLaren,0 days 01:21:59.213000,2025-03-23 07:26:35.048,1,4.0,False,,False,False
0 days 01:25:34.150000,PIA,81,0 days 00:01:37.407000,16.0,2.0,,,0 days 00:00:26.166000,0 days 00:00:29.557000,0 days 00:00:41.684000,0 days 01:24:23.030000,0 days 01:24:52.587000,0 days 01:25:34.271000,276.0,273.0,261.0,314.0,True,HARD,2.0,True,McLaren,0 days 01:23:56.743000,2025-03-23 07:28:32.578,1,2.0,False,,False,True
0 days 01:27:11.041000,PIA,81,0 days 00:01:36.891000,17.0,2.0,,,0 days 00:00:25.902000,0 days 00:00:29.667000,0 days 00:00:41.322000,0 days 01:26:00.173000,0 days 01:26:29.840000,0 days 01:27:11.162000,274.0,272.0,259.0,338.0,True,HARD,3.0,True,McLaren,0 days 01:25:34.150000,2025-03-23 07:30:09.985,1,1.0,False,,False,True
0 days 01:28:48.212000,PIA,81,0 days 00:01:37.171000,18.0,2.0,,,0 days 00:00:26.135000,0 days 00:00:29.381000,0 days 00:00:41.655000,0 days 01:27:37.297000,0 days 01:28:06.678000,0 days 01:28:48.333000,271.0,266.0,259.0,312.0,False,HARD,4.0,True,McLaren,0 days 01:27:11.041000,2025-03-23 07:31:46.876,1,1.0,False,,False,True
0 days 01:30:25.423000,PIA,81,0 days 00:01:37.211000,19.0,2.0,,,0 days 00:00:25.989000,0 days 00:00:29.447000,0 days 00:00:41.775000,0 days 01:29:14.322000,0 days 01:29:43.769000,0 days 01:30:25.544000,,268.0,259.0,314.0,False,HARD,5.0,True,McLaren,0 days 01:28:48.212000,2025-03-23 07:33:24.047,1,1.0,False,,False,True
0 days 01:32:02.831000,PIA,81,0 days 00:01:37.408000,20.0,2.0,,,0 days 00:00:26.183000,0 days 00:00:29.562000,0 days 00:00:41.663000,0 days 01:30:51.727000,0 days 01:31:21.289000,0 days 01:32:02.952000,274.0,272.0,257.0,315.0,False,HARD,6.0,True,McLaren,0 days 01:30:25.423000,2025-03-23 07:35:01.258,1,1.0,False,,False,True
