driver,team,position,status,points,fastestLap,fastestNum,slowestLap,slowestNum,finalTime,gap
NOR,McLaren,1,Finished,25.0,01:22.167,43,02:24.979,49,01:42:06.304,01:42:06.304
VER,Red Bull Racing,2,Finished,18.0,01:23.081,43,02:24.892,49,01:42:07.199,00.895
RUS,Mercedes,3,Finished,15.0,01:25.065,43,02:24.163,49,01:42:14.785,08.481
ANT,Mercedes,4,Finished,12.0,01:24.901,43,02:24.964,49,01:42:16.439,10.135
ALB,Williams,5,Finished,10.0,01:24.597,43,02:27.472,34,01:42:19.076,12.773
STR,Aston Martin,6,Finished,8.0,01:25.538,43,02:25.123,49,01:42:23.717,17.413
HUL,Kick Sauber,7,Finished,6.0,01:25.243,43,02:24.804,49,01:42:24.726,18.423
LEC,Ferrari,8,Finished,4.0,01:29.801,56,02:28.223,37,01:42:26.130,19.826
PIA,McLaren,9,Finished,2.0,01:28.559,56,02:23.155,5,01:42:26.752,20.448
HAM,Ferrari,10,Finished,1.0,01:29.874,55,02:26.885,34,01:42:28.777,22.473
GAS,Alpine,11,Finished,0.0,01:25.020,43,02:25.049,34,01:42:32.806,26.502
TSU,Racing Bulls,12,Finished,0.0,01:31.511,57,02:26.811,34,01:42:36.188,29.884
OCO,Haas F1 Team,13,Finished,0.0,01:26.764,42,02:25.769,1,01:42:39.465,33.161
BEA,Haas F1 Team,14,Finished,0.0,01:27.603,42,02:29.413,1,01:42:46.655,40.351
LAW,Red Bull Racing,R,Retired,0.0,DNF,DNF,DNF,DNF,DNF,DNF
BOR,Kick Sauber,R,Retired,0.0,DNF,DNF,DNF,DNF,DNF,DNF
ALO,Aston Martin,R,Retired,0.0,DNF,DNF,DNF,DNF,DNF,DNF
SAI,Williams,R,Retired,0.0,DNF,DNF,DNF,DNF,DNF,DNF
DOO,Alpine,R,Retired,0.0,DNF,DNF,DNF,DNF,DNF,DNF
HAD,Racing Bulls,R,Retired,0.0,DNF,DNF,DNF,DNF,DNF,DNF
